Facility Name,Hospital overall rating,Beds Available ,Cardio Rating,Neuro Rating,Ortho Rating,Doctors on Duty,Distance,Y
NORTH TEXAS STATE HOSPITAL,3,19,1,2,5,19,28,1
MAGEE GENERAL HOSPITAL,3,5,3,3,2,11,2,0
CYPRESS CREEK HOSPITAL,3,7,2,4,1,7,12,0
MARSHALL COUNTY HEALTHCARE CENTER - CAH,3,7,1,2,4,12,20,0
JOHN SEED HOSPITAL,3,16,2,3,2,9,12,0
ST. HOPE HOSPITAL,3,17,2,1,5,13,11,1
PARK ROYAL HOSPITAL,2,13,1,1,3,18,5,1
GREENWICH HOSPITAL ASSOCIATION -,3,6,3,4,1,12,11,0
KINGWOOD PINES HOSPITAL,3,6,1,4,3,5,5,0
VETERANS MEMORIAL HOSPITAL,1,3,1,1,1,6,19,0
PROVO CANYON BEHAVIORAL HOSPITAL,3,9,4,3,2,6,29,0
MANHATTAN PSYCHIATRIC CENTER,4,20,5,1,5,19,10,1
SUMMIT MEDICAL CENTER,2,4,1,2,2,19,1,0
MCCURTAIN MEMORIAL HOSPITAL,5,4,5,5,5,7,22,0
SELLS HOSPITAL,5,23,5,5,5,8,6,1
OCEANS BEHAVIORAL HOSPITAL OF ABILENE,4,8,5,2,4,8,18,0
BRATTLEBORO RETREAT,3,29,1,4,3,8,26,0
GREENE COUNTY HOSPITAL,2,25,1,3,1,18,2,0
COMANCHE COUNTY HOSPITAL,2,30,1,2,1,14,18,0
SUNDANCE HOSPITAL,2,27,2,1,3,11,27,0
PATRICK B HARRIS PSYCHIATRIC HOSPITAL,4,18,5,4,1,15,18,0
LBJ TROPICAL MEDICAL CENTER,4,16,5,4,2,7,20,0
SUN BEHAVIORAL HOUSTON,3,16,4,2,3,7,20,0
KANAKANAK HOSPITAL,3,3,4,2,2,9,22,0
DUNES SURGICAL HOSPITAL,3,17,1,2,5,7,15,1
ST PETERS HOSPITAL,4,26,4,4,2,19,3,1
US PAIN & SPINE HOSPITAL,4,8,5,4,1,13,15,0
PHYSICIANS BEHAVIORAL HOSPITAL,3,11,1,2,5,17,12,1
WHITFIELD MEDICAL SURGICAL HOSPITAL,4,27,3,5,3,19,30,0
DOCTORS NEUROPSYCHIATRIC HOSPITAL,4,5,5,3,3,14,21,0
WILLOW CREEK BEHAVIORAL HEALTH,4,30,3,5,3,9,30,0
GREENLEAF CENTER,4,16,1,5,4,13,25,0
HIMA SAN PABLO CUPEY,3,29,1,5,1,16,5,0
SAN JUAN CAPESTRANO  HOSPITAL INC,3,27,4,3,2,12,14,0
SPRING GROVE HOSPITAL CENTER,3,24,1,4,2,9,22,0
ASCENSION OUR LADY OF VICTORY HOSPITAL,3,25,2,2,4,5,11,1
MEDICAL CITY ALLIANCE,3,5,5,2,1,10,18,0
TURNING POINT HOSPITAL,4,25,3,5,4,19,2,1
SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,4,15,5,3,3,15,13,0
SHRINERS HOSPITALS FOR CHILDREN,3,11,3,2,3,11,4,1
REGIONAL HEALTH CUSTER HOSPITAL,4,28,1,5,4,10,17,1
"GOOD HOPE HOSPITAL, INC",4,20,4,5,3,5,28,0
RED BUD REGIONAL HOSPITAL,3,28,3,4,2,7,1,1
GREENWOOD LEFLORE HOSPITAL,3,27,1,2,5,11,21,1
MT ASCUTNEY HOSPITAL,3,5,3,5,1,13,19,0
NEW YORK-PRESBYTERIAN/QUEENS,4,14,5,1,4,9,30,0
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,3,17,1,4,3,7,19,0
